source,target,weight,type,group
38,proxy_6,2,routing,6
34,proxy_3,1,routing,3
39,proxy_4,1,routing,4
34,proxy_3,2,routing,3
42,proxy_6,2,routing,6
34,proxy_3,1,routing,3
46,proxy_4,1,routing,4
34,proxy_3,3,routing,3
53,proxy_4,3,routing,4
34,proxy_3,1,routing,3
73,proxy_5,1,routing,5
34,proxy_3,8,routing,3
74,proxy_5,8,routing,5
34,proxy_3,1,routing,3
116,proxy_2,1,routing,2
35,proxy_3,7,routing,3
42,proxy_6,7,routing,6
35,proxy_3,6,routing,3
46,proxy_4,6,routing,4
35,proxy_3,1,routing,3
47,proxy_4,1,routing,4
35,proxy_3,1,routing,3
65,proxy_7,1,routing,7
35,proxy_3,2,routing,3
73,proxy_5,2,routing,5
35,proxy_3,1,routing,3
74,proxy_5,1,routing,5
35,proxy_3,1,routing,3
89,proxy_5,1,routing,5
35,proxy_3,1,routing,3
117,proxy_6,1,routing,6
38,proxy_6,1,routing,6
39,proxy_4,1,routing,4
38,proxy_6,4,routing,6
46,proxy_4,4,routing,4
38,proxy_6,5,routing,6
52,proxy_3,5,routing,3
38,proxy_6,6,routing,6
53,proxy_4,6,routing,4
38,proxy_6,1,routing,6
60,proxy_3,1,routing,3
38,proxy_6,1,routing,6
65,proxy_7,1,routing,7
38,proxy_6,3,routing,6
73,proxy_5,3,routing,5
38,proxy_6,4,routing,6
74,proxy_5,4,routing,5
38,proxy_6,1,routing,6
84,proxy_2,1,routing,2
38,proxy_6,2,routing,6
89,proxy_5,2,routing,5
38,proxy_6,2,routing,6
115,proxy_3,2,routing,3
38,proxy_6,1,routing,6
116,proxy_2,1,routing,2
39,proxy_4,3,routing,4
41,proxy_8,3,routing,8
39,proxy_4,1,routing,4
42,proxy_6,1,routing,6
39,proxy_4,1,routing,4
60,proxy_3,1,routing,3
39,proxy_4,1,routing,4
65,proxy_7,1,routing,7
39,proxy_4,13,routing,4
73,proxy_5,13,routing,5
39,proxy_4,3,routing,4
74,proxy_5,3,routing,5
39,proxy_4,1,routing,4
84,proxy_2,1,routing,2
39,proxy_4,2,routing,4
